model,accuracy,f1_macro,avg_latency_s,total_calls,total_input_tokens,total_output_tokens,total_cost_usd,errors
Claude 3 Haiku,0.805,0.6699550570202744,2.8309431076049805,200,2405645,42751,0.6548499999999999,0
Claude 3 Sonnet,0.335,0.17366847985773815,9.752742522954941,200,2405645,48206,7.9400249999999994,0
Mistral Large 3,0.335,0.19600857715081854,1.4726785844372166,186,2308765,42803,4.874348,14
Amazon Nova Pro,0.315,0.16984252644630002,2.668154695034027,200,2449764,40278,2.0887008000000002,0
Amazon Nova Lite,0.26,0.14249498415057946,2.162800226211548,200,2449764,41395,0.15692064,0
Ministral 3 8B,0.24,0.17025534287789187,1.4679181051254273,200,2482585,39228,0.2521813,0
Amazon Nova Micro,0.16,0.06683280048664665,1.205579078927332,196,2400683,35920,0.08905270500000001,4
Mistral Large 2,0.095,0.08797582888491978,7.153048262153704,97,0,0,0.0,103
Llama 3 70B,0.0,0.0,0.0,0,0,0,0.0,200
Llama 3 8B,0.0,0.0,0.0,0,0,0,0.0,200
Cohere Command R+,0.0,0.0,0.0,0,0,0,0.0,200
